num pol;age;Sexe;Type vehicule;Date sous;anc permis;Zone geo;valeur
1001;39;F;5;01/01/2020;18;D;5791
1002;32;H;3;01/01/2020;14;A;7979
1003;46;H;2;01/01/2020;26;B;16672
1004;34;F;5;01/01/2020;13;A;23947
1005;45;F;5;01/01/2020;23;A;20733
1006;49;H;2;01/01/2020;31;B;4526
1007;42;H;1;01/01/2020;24;D;25706
1008;37;H;3;01/01/2020;16;B;23321
1009;41;F;6;01/01/2020;22;B;8296
1010;40;F;5;01/01/2020;21;B;30208
1011;38;H;3;01/01/2020;19;A;23157
1012;37;F;4;01/01/2020;16;D;28262
1013;39;H;5;01/01/2020;19;A;5601
1014;38;F;1;01/01/2020;18;C;15246
1015;36;F;1;01/01/2020;14;C;3150
1016;46;H;3;01/01/2020;24;A;28971
1017;38;H;4;01/01/2020;19;D;20790
1018;35;F;2;01/01/2020;14;B;25788
1019;49;F;4;01/01/2020;29;B;22464
1020;37;F;2;01/01/2020;19;B;9799
1021;43;F;1;01/01/2020;21;A;13968
1022;47;F;2;01/01/2020;26;D;25105
1023;53;H;2;01/01/2020;33;A;29582
1024;35;F;5;01/01/2020;15;B;20651
1025;56;F;4;01/01/2020;36;D;13870
1026;43;F;5;01/01/2020;23;B;26174
1027;37;F;4;01/01/2020;18;D;18524
1028;46;H;2;01/01/2020;26;D;25679
1029;35;H;3;01/01/2020;16;B;15850
1030;40;H;4;01/01/2020;18;B;28531
1031;46;F;3;01/01/2020;27;B;5250
1032;52;H;2;01/01/2020;31;A;6785
1033;24;H;2;01/01/2020;5;B;13012
1034;42;F;4;01/01/2020;22;A;26426
1035;42;H;3;01/01/2020;23;B;21879
1036;46;H;2;01/01/2020;25;C;7961
1037;52;F;3;01/01/2020;31;A;2563
1038;48;F;6;01/01/2020;29;C;8018
1039;45;H;4;01/01/2020;26;A;5538
1040;53;F;4;01/01/2020;33;A;3024
1041;35;H;1;01/01/2020;17;C;19639
1042;45;F;3;01/01/2020;23;D;19445
1043;33;H;3;01/01/2020;12;D;23695
1044;37;H;2;01/01/2020;19;A;25913
1045;40;H;2;01/01/2020;22;C;14051
1046;36;F;3;01/01/2020;16;B;29024
1047;25;H;2;01/01/2020;7;A;13500
1048;40;H;2;01/01/2020;20;C;21883
1049;31;H;2;01/01/2020;12;D;2668
1050;47;F;3;01/01/2020;28;A;20195
1051;43;H;5;01/01/2020;23;C;1554
1052;40;H;5;01/01/2020;19;A;14095
1053;51;H;3;01/01/2020;33;B;10778
1054;43;F;2;01/01/2020;25;B;5405
1055;40;H;2;01/01/2020;18;D;13045
1056;54;H;4;01/01/2020;32;B;4030
1057;22;H;1;01/01/2020;3;A;6653
1058;31;F;3;01/01/2020;10;D;28766
1059;51;F;5;01/01/2020;29;C;11903
1060;33;H;4;01/01/2020;12;A;20977
1061;25;H;3;01/01/2020;3;B;1646
1062;39;F;6;01/01/2020;18;B;15204
1063;29;H;5;01/01/2020;10;A;10667
1064;34;F;2;01/01/2020;14;C;27476
1065;42;F;5;01/01/2020;21;A;18315
1066;52;F;6;01/01/2020;32;C;11709
1067;45;F;3;01/01/2020;24;A;24057
1068;34;H;2;01/01/2020;13;B;27257
1069;33;H;2;01/01/2020;13;C;1867
1070;29;H;3;01/01/2020;8;D;8551
1071;18;F;5;01/01/2020;1;C;27015
1072;53;F;4;01/01/2020;31;D;29945
1073;43;H;2;01/01/2020;22;D;4329
1074;41;F;4;01/01/2020;19;D;12213
1075;45;F;5;01/01/2020;23;A;19589
1076;30;H;5;01/01/2020;9;B;20299
1077;50;H;3;01/01/2020;28;B;14798
1078;42;F;4;01/01/2020;21;A;15591
1079;39;F;6;01/01/2020;17;C;17484
1080;48;F;2;01/01/2020;27;B;20474
1081;42;H;4;01/01/2020;20;C;29740
1082;47;H;1;01/01/2020;26;B;10356
1083;39;F;5;01/01/2020;20;D;19844
1084;29;H;3;01/01/2020;8;D;29661
1085;18;F;4;01/01/2020;1;A;11101
1086;41;F;1;01/01/2020;22;B;5972
1087;36;H;6;01/01/2020;17;C;24042
1088;57;H;6;01/01/2020;38;A;12206
1089;43;F;6;01/01/2020;24;B;25998
1090;40;H;3;01/01/2020;18;A;8043
1091;33;F;5;01/01/2020;14;B;3249
1092;44;F;4;01/01/2020;22;A;15252
1093;41;H;5;01/01/2020;20;C;19471
1094;44;F;4;01/01/2020;26;C;16232
1095;36;H;4;01/01/2020;16;A;30743
1096;30;H;1;01/01/2020;9;A;27405
1097;41;F;3;01/01/2020;22;A;30963
1098;45;H;6;01/01/2020;26;A;2168
