num pol;age;Sexe;Type vehicule;Date sous;anc permis;Zone geo;valeur
1;44;F;5;01/01/2019;26;D;10790
2;36;F;3;01/01/2019;17;C;28585
3;24;H;4;01/01/2019;6;C;18173
4;49;F;5;01/01/2019;31;A;14535
5;36;F;6;02/03/2019;18;A;24265
6;45;H;5;01/01/2019;27;D;7410
7;29;F;5;01/01/2019;11;C;25291
8;46;H;3;01/01/2019;28;A;23437
9;34;H;3;04/02/2019;14;C;24918
10;33;H;3;12/02/2019;15;B;24400
11;46;F;5;31/01/2019;28;D;22600
12;39;F;2;01/01/2019;21;B;3398
13;36;H;4;26/05/2019;15;B;7341
14;46;H;2;01/02/2019;27;B;25051
15;32;H;2;01/01/2019;14;C;26738
16;36;H;4;01/01/2019;18;A;21162
17;44;F;4;22/06/2019;23;B;18441
18;41;H;1;01/01/2019;22;C;18886
19;37;H;4;01/01/2019;19;D;10734
20;34;F;3;01/01/2019;15;C;18100
21;47;F;5;01/01/2019;28;A;16109
22;35;H;5;01/01/2019;17;A;18990
23;42;F;4;11/01/2019;22;B;4702
24;50;H;2;01/01/2019;32;B;22733
25;50;H;1;17/02/2019;25;D;30017
26;40;H;3;01/01/2019;22;D;27790
27;42;H;4;01/01/2019;24;D;2838
28;34;H;2;01/01/2019;16;D;15274
29;35;H;2;01/01/2019;17;B;21255
30;33;H;3;01/01/2019;15;B;1906
31;34;H;4;01/01/2019;16;C;10161
32;18;F;6;30/04/2019;-2;D;2421
33;40;F;3;21/04/2019;22;B;30935
34;32;F;2;01/01/2019;14;B;1580
35;44;H;4;29/03/2019;24;D;11906
36;43;F;2;01/01/2019;25;D;28667
37;44;H;4;01/01/2019;23;B;21621
38;39;F;1;22/01/2019;21;D;15176
39;40;H;3;24/01/2019;22;C;10322
40;41;F;5;01/01/2019;22;B;2242
41;49;H;5;01/01/2019;29;D;2778
42;30;H;3;01/01/2019;10;A;9619
43;53;H;3;28/04/2019;35;A;11828
44;34;F;6;16/01/2019;16;B;8183
45;48;H;6;01/01/2019;28;A;24901
46;47;H;4;01/01/2019;29;B;22723
47;37;F;3;02/02/2019;19;C;29535
48;38;H;3;27/01/2019;19;D;18366
49;45;F;5;01/01/2019;22;C;12497
50;42;F;3;01/01/2019;24;C;29455
51;48;F;1;01/01/2019;30;C;2418
52;39;H;4;01/01/2019;21;C;26262
53;39;H;4;01/01/2019;18;D;23460
54;34;F;4;01/01/2019;16;D;17264
55;46;F;4;01/03/2019;27;B;1205
56;37;H;2;01/01/2019;16;C;12077
57;46;F;5;01/01/2019;28;B;19162
58;47;F;3;11/06/2019;29;D;3321
59;39;F;3;04/04/2019;21;B;27687
60;45;F;3;27/05/2019;24;D;13636
61;37;H;4;01/01/2019;13;D;1542
62;31;H;5;23/04/2019;11;A;8738
63;38;F;5;01/01/2019;15;C;30789
64;43;F;5;03/07/2019;25;C;30211
65;35;H;2;16/06/2019;17;C;9564
66;52;H;5;01/01/2019;32;D;13864
67;37;F;1;01/01/2019;19;B;8952
68;46;H;4;26/01/2019;25;D;10593
69;33;H;4;28/03/2019;12;D;24528
70;38;F;2;27/06/2019;20;C;26755
71;49;H;5;01/01/2019;31;C;30076
72;31;F;2;29/05/2019;11;C;29468
73;31;F;2;23/02/2019;13;B;15570
74;36;F;1;01/01/2019;18;D;20688
75;46;F;3;01/01/2019;26;B;11193
76;34;H;4;01/01/2019;16;B;18752
77;31;F;2;01/01/2019;12;A;9781
78;41;F;4;01/01/2019;23;C;19352
79;47;H;3;01/01/2019;28;B;9137
80;31;H;3;01/01/2019;9;C;27626
81;46;F;2;01/01/2019;26;A;11051
82;41;H;5;29/04/2019;19;C;13676
83;46;F;3;24/01/2019;28;D;26485
84;37;F;6;15/01/2019;18;B;15665
85;44;F;3;05/04/2019;25;C;23164
86;39;F;4;01/01/2019;18;C;13945
87;36;H;3;01/01/2019;15;C;17520
88;38;F;1;01/01/2019;20;C;25127
89;27;F;2;09/02/2019;8;D;28362
90;40;F;6;01/01/2019;22;A;12712
91;35;H;3;01/01/2019;17;A;18750
92;38;F;4;01/01/2019;14;C;8006
93;56;H;5;12/07/2019;38;B;25164
94;47;F;4;15/06/2019;29;D;16592
95;42;F;6;01/01/2019;24;C;8234
96;48;H;2;09/03/2019;30;A;4046
97;46;F;3;01/01/2019;28;C;20927
98;35;F;2;01/01/2019;17;C;17089
99;40;F;3;01/01/2019;22;C;14096
100;27;H;2;14/03/2019;9;B;15174
101;47;H;6;01/01/2019;27;B;9037
102;24;H;5;01/01/2019;5;D;5957
103;47;H;5;01/01/2019;27;A;17278
104;31;F;3;01/01/2019;11;B;2498
105;36;F;4;01/01/2019;18;C;24922
106;49;F;2;01/01/2019;29;A;12516
107;41;H;5;01/01/2019;21;C;6982
108;33;F;2;01/01/2019;15;A;21387
109;35;H;1;01/01/2019;17;B;8299
110;41;F;5;01/01/2019;23;D;24721
111;35;F;1;01/01/2019;17;C;4836
112;38;F;5;13/04/2019;19;A;1373
113;49;H;2;01/01/2019;31;C;3453
114;45;H;5;13/06/2019;24;C;2190
115;43;F;4;01/01/2019;25;D;24523
116;42;H;2;01/01/2019;17;D;21004
117;33;F;6;01/01/2019;15;D;13687
118;40;H;4;01/01/2019;19;D;20458
119;32;H;3;11/02/2019;14;C;22282
120;34;H;6;08/06/2019;16;A;23897
121;49;H;5;04/02/2019;31;B;29637
122;44;F;4;30/04/2019;24;B;2327
123;38;H;4;28/06/2019;15;C;2931
124;39;F;3;01/01/2019;21;C;28147
125;28;F;2;01/01/2019;10;C;3232
126;26;H;3;01/01/2019;5;A;6547
127;40;F;2;01/01/2019;21;C;12365
128;38;F;1;01/01/2019;20;B;14028
129;38;H;4;22/02/2019;18;A;14933
130;37;H;3;10/05/2019;18;B;19735
131;36;F;3;01/01/2019;16;A;4170
132;49;F;2;01/01/2019;29;A;27400
133;28;H;3;01/01/2019;10;A;22754
134;36;F;1;29/04/2019;17;B;4315
135;36;H;4;01/01/2019;18;B;30756
136;50;H;3;09/05/2019;32;D;19050
137;43;H;1;01/01/2019;25;C;29650
