num pol;charge sin
3;1413,499
3;909,592
3;1349,821
5;2727,443
7;2418,27
10;1762,215
10;1825,356
15;2634,372
15;1359,33
17;1330,84
17;1633,307
23;496,546
29;1258,875
31;587,567
32;527,522
33;1848,378
34;848,143
34;472,76
36;2380,922
38;424,375
39;861,093
39;1172,481
41;499,658
42;1225,59
44;920,873
44;765,23
45;2179,578
48;655,919
49;746,357
50;2015,574
53;799,832
54;715,092
59;1639,034
62;629,122
62;814,893
67;613,991
67;424,087
73;803,359
76;730,888
76;1715,99
77;347,623
77;518,813
87;1558,13
87;1060,406
89;1430,854
89;1128,551
89;1317,293
89;1957,817
95;1442,473
102;650,662
102;685,011
102;782,73
106;442,136
107;763,373
108;1091,264
117;1434,598
124;1940,8
125;650,432
125;320,089
125;621,826
125;502,257
126;644,372
126;495,367
127;745,918
131;592,34
131;396,315
131;344,676
135;2995,035
139;896,103
139;1033,238
140;1143,497
140;1968,324
142;512,257
144;532,437
145;778,501
148;871,859
148;1444,601
149;930,24
149;377,299
150;2811,905
150;1994,059
153;942,038
154;1520,637
160;1594,381
160;1080,443
161;443,885
164;1141,037
165;238,002
166;1460,323
170;291,364
172;501,8
174;1746,88
176;221,884
179;2525,163
179;1791,009
183;922,188
184;888,123
186;1088,029
192;1387,239
192;2135,574
192;1620,937
192;1669,159
194;2532,169
194;4081,359
196;1980,806
198;2829,6
199;1361,482
200;1416,047
204;773,109
206;1947,8
208;1290,021
212;461,706
218;839,668
220;647,9
225;754,89
226;1512,361
227;480,927
228;1985,807
229;421,82
231;1699,291
232;872,589
232;1609,986
233;901,146
234;1567,611
238;422,925
239;821,39
239;451,769
242;873,878
242;1041,727
244;2048,523
245;3438,901
246;1263,248
247;2052,89
251;475,668
253;343,389
253;383,634
255;424,042
259;812,127
259;612,566
259;791,173
260;1468,356
261;791,935
263;389,066
265;1651,835
267;350,619
267;431,769
267;892,221
269;1226,159
269;1677,134
271;1325,808
276;1451,561
278;325,782
278;441,175
280;683,991
288;1047,38
289;958,502
289;819,775
289;1439,091
290;1145,709
296;791,81
299;892,131
300;1260,771
303;2165,741
307;910,396
308;801,969
312;1161,842
313;872,476
317;463,013
318;1119,217
319;335,728
324;597,75
325;1235,562
331;630,801
331;823,694
334;1665,534
335;1189,154
336;1200,355
336;579,972
336;895,81
338;2477,06
339;702,024
339;415,931
344;1964,742
344;2929,609
347;411,331
347;467,435
347;389,044
349;692,448
351;1587,929
357;2549,759
361;396,671
361;253,143
375;1497,225
379;554,116
381;529,885
381;969,578
382;1416,751
383;1898,378
385;812,233
386;769,853
387;1566,358
391;2505,798
392;1241,013
393;1048,643
399;402,518
403;1627,578
403;2001,809
409;1840,779
409;2318,185
411;496,811
412;533,43
412;766,291
417;292,978
420;746,173
420;910,354
421;1785,543
423;871,684
427;962,904
427;1030,827
431;2561,957
433;1352,291
434;1050,09
434;735,645
435;1521,478
435;786,681
436;1610,124
437;1451,792
437;561,246
437;643,109
443;1711,988
445;1229,275
445;1258,857
446;2170,353
447;696,261
447;827,043
447;738,438
447;938,552
447;914,471
453;628,803
454;2980,13
456;503,866
462;889,885
464;1468,564
465;1373,884
465;958,069
465;1920,393
466;841,9
468;580,049
468;918,649
470;1079,801
470;970,007
470;829,206
471;1013,547
478;1843,803
482;562,933
482;271,251
487;1811,777
487;3565,457
491;924,55
493;1733,768
496;1044,414
497;522,825
498;1448,734
499;1347,333
499;1562,051
500;881,211
500;863,848
503;291,379
503;269,198
505;653,433
505;441,411
506;794,058
506;1021,025
508;1347,78
508;1773,723
509;1556,855
509;1406,924
514;539,452
520;814,413
521;1522,266
522;1413,804
522;863,331
522;644,96
528;889,769
531;549,714
532;2839,907
532;2156,586
533;2570,903
534;455,801
538;1380,652
538;1554,732
540;2232,749
540;1353,846
541;852,772
542;710,043
544;381,507
544;359,762
546;947,746
548;1449,032
554;1092,215
554;952,977
554;617,378
557;1116,502
560;2148,711
563;498,636
564;2152,34
574;406,975
586;840,674
586;1050,032
587;670,389
588;1976,058
590;1035,216
592;407,808
592;947,434
592;1047,634
596;421,631
597;642,544
597;1278,086
597;530,901
606;1141,56
606;798,706
611;1809,917
613;2222,646
615;1319,713
615;1398,745
615;971,295
615;1015,957
619;789,652
619;661,522
621;1515,762
623;820,123
625;1790,506
629;813,838
630;558,739
630;694,376
631;815,754
633;614,471
638;1054,751
639;1650,371
639;1632,025
640;612,888
641;874,009
642;761,363
646;1756,942
650;533,626
652;1323,866
652;1704,152
655;1088,66
659;1471,748
660;481,306
660;409,269
666;929,165
668;1518,841
670;539,63
671;792,405
674;868,892
675;457,899
681;609,002
682;615,022
684;1579,271
685;814,734
685;1279,348
685;906,093
689;693,275
690;556,21
691;1058,511
692;1734,139
695;514,65
702;2181,178
702;987,077
707;620,752
707;692,531
710;696,546
711;431,688
711;488,81
711;499,834
712;1202,488
714;1280,517
718;2645,142
721;494,664
725;392,252
726;2620,958
726;4100,218
728;866,864
730;1684,282
732;939,126
734;547,743
735;930,672
745;1007,263
745;915,958
746;1324,698
750;886,953
755;2508,454
757;723,319
757;570,42
758;2428,638
762;528,481
763;539,428
763;515,953
763;534,713
766;745,452
771;962,439
774;938,234
775;558,813
775;874,618
778;2186,995
778;2963,614
778;2023,008
779;390,524
779;467,488
781;2052,607
782;3407,714
784;317,135
785;1772,813
788;1569,148
790;2478,808
790;2963,765
791;2120,17
795;843,473
797;348,419
797;476,984
799;1187,312
799;1217,678
800;904,736
801;2872,798
801;2563,136
802;1579,571
803;2654,36
806;688,872
808;1390,782
808;2382,803
815;956,834
815;1177,992
815;938,975
817;1334,828
817;1650,871
819;838,359
820;1505,349
820;1227,587
824;804,489
830;1038,222
835;962,127
836;1861,765
836;1522,945
838;475,531
840;1336,307
841;984,137
842;1877,886
843;1269,022
843;1276,123
843;1874,372
843;1959,15
846;734,116
847;613,896
849;2367,316
851;514,013
854;796,305
856;878,379
864;1917,299
865;778,248
866;1516,733
866;763,496
868;539,979
868;338,829
876;945,32
876;935,193
877;646,482
877;626,564
877;256,808
877;790,68
877;722,916
886;1337,381
890;1101,552
892;1035,524
892;1242,143
898;1669,408
898;909,109
900;750,209
901;974,813
901;1119,782
902;769,04
903;750,83
904;1018,116
907;438,939
917;2568,169
921;276,909
923;1570,091
926;531,685
926;558,075
932;990,958
933;565,042
933;905,864
934;548,82
936;986,439
937;1293,427
938;985,741
939;862,621
941;1644,398
942;665,509
943;639,849
944;1968,843
948;1301,305
948;892,575
949;1800,965
953;1825,961
960;1828,528
964;1658,032
965;1363,688
971;1123,052
972;419,084
972;337,395
975;891,533
975;536,694
975;839,97
976;1641,059
982;2866,965
984;2605,962
988;2030,113
989;731,804
992;258,363
992;515,397
994;1233,741
996;481,179
997;476,802
997;454,405
